name,description,category,badge,featured,stars,github_url,website,tags,readme_url
Context 7,Up-to-date Docs For Any Cursor Prompt,Development,Official,true,40458,https://github.com/upstash/context7-mcp,,"development,backend",https://github.com/upstash/context7-mcp/blob/main/README.md
GitHub,GitHub's official MCP Server,Development,Official,true,25525,https://github.com/github/github-mcp-server,,"git,github,version-control",https://github.com/github/github-mcp-server/blob/main/README.md
Playwright,Playwright MCP server,Testing,Official,true,24922,https://github.com/microsoft/playwright-mcp,,"automation,playwright,testing",https://github.com/microsoft/playwright-mcp/blob/main/README.md
Mastra/mcp,Client implementation for Mastra providing seamless AI integration,Framework,Official,true,19035,https://github.com/mastra-ai/mastra,,api-integration,https://github.com/mastra-ai/mastra/blob/main/README.md
Chrome DevTools MCP,Lets your coding agent control and inspect a live Chrome browser,Development,Official,true,18237,https://github.com/chromedevtools/chrome-devtools-mcp,,"browser-automation,web-scraping",https://github.com/chromedevtools/chrome-devtools-mcp/blob/main/README.md
MCP Toolbox for Databases,Open source MCP server specializing in easy fast and secure tools for Databases.,Database,Official,true,11990,https://github.com/googleapis/genai-toolbox,,"database,schema-design,sql",https://github.com/googleapis/genai-toolbox/blob/main/README.md
Cua,MCP server for the Computer-Use Agent (CUA),Development,Official,true,11609,https://github.com/trycua/cua,,"development,backend",https://github.com/trycua/cua/blob/main/README.md
Inbox Zero,AI personal assistant for achieving email inbox zero,Productivity,Official,true,9653,https://github.com/elie222/inbox-zero,,"communication,productivity,workflow",https://github.com/elie222/inbox-zero/blob/main/README.md
InstantDB,Create and manage applications on modern Firebase alternative,Backend,Official,true,9555,https://github.com/instantdb/instant,,"api-design,backend",https://github.com/instantdb/instant/blob/main/README.md
Firecrawl,Extract web data with Firecrawl,Web Scraping,Official,true,5149,https://github.com/mendableai/firecrawl-mcp-server,,"content-extraction,web-scraping",https://github.com/mendableai/firecrawl-mcp-server/blob/main/README.md
Firecrawl MCP,Powerful web scraping and search capabilities for LLM clients,Web Scraping,Official,true,5149,https://github.com/firecrawl/firecrawl-mcp-server,,"llm,semantic-search,web-scraping",https://github.com/firecrawl/firecrawl-mcp-server/blob/main/README.md
Lingo.dev,Make your AI agent speak every language on the planet,Localization,Official,true,5084,https://github.com/lingodotdev/lingo.dev,,api-integration,https://github.com/lingodotdev/lingo.dev/blob/main/README.md
21st.dev Magic,Create crafted UI components inspired by the best 21st.dev design engineers,Development,Official,true,4057,https://github.com/21st-dev/magic-mcp,,"development,backend",https://github.com/21st-dev/magic-mcp/blob/main/README.md
Notion,Notion official MCP server,Productivity,Official,true,3636,https://github.com/makenotion/notion-mcp-server,,"notion,productivity,workflow",https://github.com/makenotion/notion-mcp-server/blob/main/README.md
Exa,Search Engine made for AIs by Exa,Search,Official,true,3472,https://github.com/exa-labs/exa-mcp-server,,"search,semantic-search",https://github.com/exa-labs/exa-mcp-server/blob/main/README.md
Chart,Model Context Protocol server for generating visual charts using AntV,"Productivity,File System",Official,true,3392,https://github.com/antvis/mcp-server-chart,,"productivity,workflow",https://github.com/antvis/mcp-server-chart/blob/main/README.md
Cloudflare,"Deploy, configure & interrogate your resources on the Cloudflare developer platform",Development,Official,true,3229,https://github.com/cloudflare/mcp-server-cloudflare,,"development,backend",https://github.com/cloudflare/mcp-server-cloudflare/blob/main/README.md
Browserbase,Automate browser interactions in the cloud (web navigation data extraction),Development,Official,true,2994,https://github.com/browserbase/mcp-server-browserbase,,"browser-automation,web-scraping",https://github.com/browserbase/mcp-server-browserbase/blob/main/README.md
Google MCP Servers,Collection of Google's official MCP servers,Cloud,Official,true,2760,https://github.com/google/mcp,,"cloud,devops",https://github.com/google/mcp/blob/main/README.md
Azure MCP Server,Comprehensive Azure tools integration for AI agents and VS Code,Productivity,Official,true,2365,https://github.com/microsoft/mcp,,"agents,productivity,workflow",https://github.com/microsoft/mcp/blob/main/README.md
Supabase,Backend platform with database and auth,Backend,Official,true,2351,https://github.com/supabase-community/supabase-mcp,,"backend,postgresql,supabase",https://github.com/supabase-community/supabase-mcp/blob/main/README.md
Grafana,Search dashboards investigate incidents and query datasources in your Grafana instance,Observability,Official,true,2045,https://github.com/grafana/mcp-grafana,,"monitoring,observability,semantic-search",https://github.com/grafana/mcp-grafana/blob/main/README.md
Perplexity,MCP server connecting to Perplexity's Sonar API enabling real-time web-wide research,Search,Official,true,1857,https://github.com/ppl-ai/modelcontextprotocol,,"api-design,search,semantic-search",https://github.com/ppl-ai/modelcontextprotocol/blob/main/README.md
Perplexity Ask MCP,Connector for the Perplexity API to enable web search within the MCP ecosystem,Search,Official,true,1857,https://github.com/perplexityai/modelcontextprotocol,,"api-design,search,semantic-search",https://github.com/perplexityai/modelcontextprotocol/blob/main/README.md
Bright Data,"Discover, extract, and interact with the web - one interface powering automated access",Productivity,Sponsor,true,1817,https://github.com/brightdata/brightdata-mcp,,"productivity,workflow",https://github.com/brightdata/brightdata-mcp/blob/main/README.md
Azure MCP,Manage and interact with Microsoft Azure services,"Productivity,File System",Official,true,1195,https://github.com/azure/azure-mcp,,"microsoft,productivity,workflow",https://github.com/azure/azure-mcp/blob/main/README.md
Stripe,Payment API integration,Finance,Official,true,1176,https://github.com/stripe/agent-toolkit,,"finance,fintech,payment,stripe",https://github.com/stripe/agent-toolkit/blob/main/README.md
Qdrant,Implement semantic memory layer on top of the Qdrant vector search engine,Search,Official,true,1150,https://github.com/qdrant/mcp-server-qdrant,,"search,semantic-search,vector-database",https://github.com/qdrant/mcp-server-qdrant/blob/main/README.md
Qdrant MCP,Semantic search using the Qdrant vector database,Search,Official,true,1150,https://github.com/qdrant/mcp-server-qdrant,,"search,semantic-search,vector-database",https://github.com/qdrant/mcp-server-qdrant/blob/main/README.md
MiniMax MCP,Provides text-to-speech image and video generation APIs,AI/ML,Official,true,1138,https://github.com/minimax-ai/minimax-mcp,,"ai-ml,api-design",https://github.com/minimax-ai/minimax-mcp/blob/main/README.md
ElevenLabs,The official ElevenLabs MCP server,AI/ML,Official,true,1121,https://github.com/elevenlabs/elevenlabs-mcp,,ai-ml,https://github.com/elevenlabs/elevenlabs-mcp/blob/main/README.md
Tavily,Search engine for AI agents (search + extract) powered by Tavily,Search,Official,true,1030,https://github.com/tavily-ai/tavily-mcp,,"agents,ai-ml,semantic-search",https://github.com/tavily-ai/tavily-mcp/blob/main/README.md
JetBrains,Work on your code with JetBrains IDEs,Development,Official,true,939,https://github.com/JetBrains/mcp-jetbrains,,"development,backend",https://github.com/JetBrains/mcp-jetbrains/blob/main/README.md
CloudBase AI ToolKit,Go from AI prompt to live app in one click connecting AI IDEs to Tencent CloudBase,Research,Official,true,908,https://github.com/tencentcloudbase/cloudbase-ai-toolkit,,"search,semantic-search",https://github.com/tencentcloudbase/cloudbase-ai-toolkit/blob/main/README.md
Ref,Up-to-date documentation for coding agents covering 1000s of public repos,Documentation,Official,true,887,https://github.com/ref-tools/ref-tools-mcp,,"agents,ai-ml",https://github.com/ref-tools/ref-tools-mcp/blob/main/README.md
Neo4j,Provides graph database functionality with Cypher operations,Database,Official,true,859,https://github.com/neo4j-contrib/mcp-neo4j,,"database,schema-design,sql",https://github.com/neo4j-contrib/mcp-neo4j/blob/main/README.md
Financial Datasets,Stock market API made for AI agents,Finance,Official,true,725,https://github.com/financial-datasets/mcp-server,,"agents,finance,payment",https://github.com/financial-datasets/mcp-server/blob/main/README.md
Hyperbrowser,Next-generation platform empowering AI agents and enabling effortless scalable browser automation,Automation,Official,true,667,https://github.com/hyperbrowserai/mcp,,"agents,ai-ml,web-scraping",https://github.com/hyperbrowserai/mcp/blob/main/README.md
Apify,Extract data from any website with thousands of scrapers,"Productivity,File System",Official,true,662,https://github.com/apify/apify-mcp-server,,"api-design,productivity,workflow",https://github.com/apify/apify-mcp-server/blob/main/README.md
ClickHouse,Query your ClickHouse database server,Development,Official,true,630,https://github.com/ClickHouse/mcp-clickhouse,,"database,sql",https://github.com/ClickHouse/mcp-clickhouse/blob/main/README.md
Semgrep,Code security analysis tool,Security,Official,true,630,https://github.com/semgrep/mcp,,"compliance,security",https://github.com/semgrep/mcp/blob/main/README.md
pg-aiguide,Postgres skills and documentation to help AI coding tools generate better SQL code,Database,Official,true,624,https://github.com/timescale/pg-aiguide,,"database,schema-design,sql",https://github.com/timescale/pg-aiguide/blob/main/README.md
Google Cloud MCP,Interact with Google Cloud services and manage your cloud resources,Cloud,Official,true,584,https://github.com/googleapis/gcloud-mcp,,"cloud,devops",https://github.com/googleapis/gcloud-mcp/blob/main/README.md
Neon,Interact with the Neon serverless Postgres platform,Database,Official,true,531,https://github.com/neondatabase/mcp-server-neon,,"database,schema-design,sql",https://github.com/neondatabase/mcp-server-neon/blob/main/README.md
LINE Official Account,Integrates the LINE Messaging API to connect an AI Agent,Communication,Official,true,505,https://github.com/line/line-bot-mcp-server,,"api-design,communication,messaging",https://github.com/line/line-bot-mcp-server/blob/main/README.md
Google Cloud Run,Official deployment MCP server for Google Cloud Run,Cloud,Official,true,501,https://github.com/GoogleCloudPlatform/cloud-run-mcp,,"cloud,devops",https://github.com/GoogleCloudPlatform/cloud-run-mcp/blob/main/README.md
Sentry,Error tracking and monitoring platform,Observability,Official,true,490,https://github.com/getsentry/sentry-mcp,,"monitoring,observability",https://github.com/getsentry/sentry-mcp/blob/main/README.md
Next.js DevTools MCP,Offers development tools for Claude and Cursor integration,Development,Official,true,484,https://github.com/vercel/next-devtools-mcp,,"development,backend",https://github.com/vercel/next-devtools-mcp/blob/main/README.md
Chroma,Embeddings vector search document storage and full-text search,Development,Official,true,451,https://github.com/chroma-core/chroma-mcp,,"ai-ml,semantic-search,vector-database",https://github.com/chroma-core/chroma-mcp/blob/main/README.md
dbt,Official MCP server for dbt (data build tool) with CLI integration,Development,Official,true,448,https://github.com/dbt-labs/dbt-mcp,,"development,backend",https://github.com/dbt-labs/dbt-mcp/blob/main/README.md
Resend Email,Send emails directly from your editor using the Resend API,Email,Official,true,421,https://github.com/resend/mcp-send-email,,"ai-ml,api-design,communication",https://github.com/resend/mcp-send-email/blob/main/README.md
MotherDuck,Query and analyze data with MotherDuck and local DuckDB,Database,Official,true,387,https://github.com/motherduckdb/mcp-server-motherduck,,"database,schema-design,sql",https://github.com/motherduckdb/mcp-server-motherduck/blob/main/README.md
Graphlit,Ingest from Slack Gmail podcast feeds and web crawling into searchable projects,Data,Official,true,368,https://github.com/graphlit/graphlit-mcp-server,,"data,search,semantic-search",https://github.com/graphlit/graphlit-mcp-server/blob/main/README.md
E2B,Run code in secure sandboxes hosted by E2B,Web Scraping,Official,true,364,https://github.com/e2b-dev/mcp-server,,"content-extraction,web-scraping",https://github.com/e2b-dev/mcp-server/blob/main/README.md
EdgeOne Pages MCP,MCP service for deploying HTML content to EdgeOne Pages,Productivity,Official,true,340,https://github.com/TencentEdgeOne/edgeone-pages-mcp,,"productivity,workflow",https://github.com/TencentEdgeOne/edgeone-pages-mcp/blob/main/README.md
GitKraken,A CLI for interacting with GitKraken APIs. Includes an MCP server via gk mcp that also wraps Jira GitHub and GitLab integrations,Development,Official,true,337,https://github.com/gitkraken/gk-cli,,"api-design,git,github",https://github.com/gitkraken/gk-cli/blob/main/README.md
SonarQube,Code quality analysis integration,Development,Official,true,332,https://github.com/SonarSource/sonarqube-mcp-server,,"development,backend",https://github.com/SonarSource/sonarqube-mcp-server/blob/main/README.md
Devopness,Devopness MCP server for DevOps happiness! Empower AI Agents to deploy apps and infra,Development,Official,true,331,https://github.com/devopness/devopness,,"agents,ai-ml",https://github.com/devopness/devopness/blob/main/README.md
Mapbox,Unlock geospatial intelligence through APIs like geocoding and directions,Geospatial,Official,true,296,https://github.com/mapbox/mcp-server,,"api-design,api-integration",https://github.com/mapbox/mcp-server/blob/main/README.md
Kagi Search,Search the web using Kagi's search API,Search,Official,true,247,https://github.com/kagisearch/kagimcp,,"api-design,search,semantic-search",https://github.com/kagisearch/kagimcp/blob/main/README.md
Apache Doris,MPP-based real-time data warehouse integration,"Communication,Productivity",Official,true,237,https://github.com/apache/doris-mcp-server,,"communication,messaging",https://github.com/apache/doris-mcp-server/blob/main/README.md
ForeverVM,Run Python in a code sandbox,Development,Official,true,224,https://github.com/jamsocket/forevervm,,"development,backend",https://github.com/jamsocket/forevervm/blob/main/README.md
Milvus,Search Query and interact with data in your Milvus Vector Database.,Database,Official,true,207,https://github.com/zilliztech/mcp-server-milvus,,"database,semantic-search,sql,vector-database",https://github.com/zilliztech/mcp-server-milvus/blob/main/README.md
Comet Opik,Query and analyze your Opik logs traces prompts and all other telemetry data,Development,Official,true,194,https://github.com/comet-ml/opik-mcp,,"development,backend",https://github.com/comet-ml/opik-mcp/blob/main/README.md
Armor Crypto MCP,Blockchain DeFi staking swaps wallet management tools,"File System,Productivity",Official,true,183,https://github.com/armorwallet/armor-crypto-mcp,,"productivity,workflow",https://github.com/armorwallet/armor-crypto-mcp/blob/main/README.md
Zen7-Payment-Agent,First implementation project of DePA pioneers next-generation intelligent payment infrastructure,Finance,Official,true,172,https://github.com/zen7-labs/zen7-payment-agent,,"finance,payment",https://github.com/zen7-labs/zen7-payment-agent/blob/main/README.md
PayPal,PayPal Model Context Protocol server integrates with PayPal APIs through function calling,Finance,Official,true,171,https://github.com/paypal/agent-toolkit,,"api-design,finance,payment",https://github.com/paypal/agent-toolkit/blob/main/README.md
Xero,Interact with the accounting data in your business using our official MCP server,Finance,Official,true,163,https://github.com/XeroAPI/xero-mcp-server,,"finance,payment",https://github.com/XeroAPI/xero-mcp-server/blob/main/README.md
Search1API,Search crawling and sitemap API,Search,Official,true,160,https://github.com/fatwang2/search1api-mcp,,"api-design,search,semantic-search",https://github.com/fatwang2/search1api-mcp/blob/main/README.md
Meilisearch,Interact & query with Meilisearch (Full-text & semantic search API),Search,Official,true,158,https://github.com/meilisearch/meilisearch-mcp,,"api-design,search,semantic-search",https://github.com/meilisearch/meilisearch-mcp/blob/main/README.md
Storybook MCP,UI component story generation,Development,Official,true,153,https://github.com/storybookjs/addon-mcp,,"development,backend",https://github.com/storybookjs/addon-mcp/blob/main/README.md
Langfuse Prompt Management,Open-source tool for collaborative editing versioning evaluating and releasing prompts,Development,Official,true,151,https://github.com/langfuse/mcp-server-langfuse,,"development,backend",https://github.com/langfuse/mcp-server-langfuse/blob/main/README.md
Make,Turn your Make scenarios into callable tools for AI assistants,Automation,Official,true,147,https://github.com/integromat/make-mcp-server,,"api-integration,automation",https://github.com/integromat/make-mcp-server/blob/main/README.md
Intugle MCP,Generate automated semantic models using data engineering agents and built data products on demand,Data,Official,true,146,https://github.com/intugle/data-tools,,"agents,ai-ml,data",https://github.com/intugle/data-tools/blob/main/README.md
AgentQL,Enables agents to extract structured data from unstructured web content,Development,Official,true,138,https://github.com/tinyfish-io/agentql-mcp,,"agents,ai-ml",https://github.com/tinyfish-io/agentql-mcp/blob/main/README.md
StarRocks,Analytics database interaction,Database,Official,true,136,https://github.com/StarRocks/mcp-server-starrocks,,"database,schema-design,sql",https://github.com/StarRocks/mcp-server-starrocks/blob/main/README.md
Svelte MCP,Framework documentation and code suggestions,Development,Official,true,133,https://github.com/sveltejs/mcp,,"development,backend",https://github.com/sveltejs/mcp/blob/main/README.md
Logfire,Provides access to OpenTelemetry traces and metrics through Logfire,Monitoring,Official,true,129,https://github.com/pydantic/logfire-mcp,,"metrics,monitoring,observability",https://github.com/pydantic/logfire-mcp/blob/main/README.md
Plane,Official Plane MCP server provides integration with Plane APIs for AI automation,Productivity,Official,true,128,https://github.com/makeplane/plane-mcp-server,,"api-design,productivity,workflow",https://github.com/makeplane/plane-mcp-server/blob/main/README.md
AgentRPC,Connect functions across languages and network boundaries,Development,Official,true,124,https://github.com/agentrpc/agentrpc,,"development,backend",https://github.com/agentrpc/agentrpc/blob/main/README.md
Dart,Interact with task doc and project data in Dart AI project management tool,Development,Official,true,124,https://github.com/its-dart/dart-mcp-server,,"development,backend",https://github.com/its-dart/dart-mcp-server/blob/main/README.md
Zomato MCP,An mcp server for your food ordering needs,Food,Official,true,123,https://github.com/zomato/mcp-server-manifest,,api-integration,https://github.com/zomato/mcp-server-manifest/blob/main/README.md
BrowserStack,Bring the full power of BrowserStack's Test Platform to your AI tools,Productivity,Official,true,114,https://github.com/browserstack/mcp-server,,"productivity,web-scraping,workflow",https://github.com/browserstack/mcp-server/blob/main/README.md
Plugged.in,Comprehensive proxy combining multiple MCP servers into a single MCP with discovery tools,Integration,Official,true,113,https://github.com/VeriTeknik/pluggedin-mcp-proxy,,api-integration,https://github.com/VeriTeknik/pluggedin-mcp-proxy/blob/main/README.md
IBM wxflows,Tool platform for building testing and deploying tools for data sources,Cloud,Official,true,111,https://github.com/IBM/wxflows,,"cloud,devops",https://github.com/IBM/wxflows/blob/main/README.md
DINO-X,Advanced computer vision and object detection MCP server powered by Dino-X,Web Scraping,Official,true,108,https://github.com/IDEA-Research/DINO-X-MCP,,"content-extraction,web-scraping",https://github.com/IDEA-Research/DINO-X-MCP/blob/main/README.md
Chronulus AI,Predict anything with Chronulus AI forecasting and prediction agents,Development,Official,true,102,https://github.com/ChronulusAI/chronulus-mcp,,"agents,ai-ml",https://github.com/ChronulusAI/chronulus-mcp/blob/main/README.md
Vectorize,Advanced retrieval Deep Research and file extraction capabilities,Search,Official,true,102,https://github.com/vectorize-io/vectorize-mcp-server,,"search,semantic-search,vector-database",https://github.com/vectorize-io/vectorize-mcp-server/blob/main/README.md
Cycode,Boost security in your dev lifecycle via SAST SCA Secrets & IaC scanning,Development,Official,true,97,https://github.com/cycodehq/cycode-cli,,"development,backend",https://github.com/cycodehq/cycode-cli/blob/main/README.md
Taskade,Project and workflow management platform,Productivity,Official,true,95,https://github.com/taskade/mcp,,"productivity,workflow",https://github.com/taskade/mcp/blob/main/README.md
Webflow,Interact with Webflow APIs to list and edit your site and CMS data,Web,Official,true,93,https://github.com/webflow/mcp-server,,"api-design,web-scraping,content-extraction",https://github.com/webflow/mcp-server/blob/main/README.md
Octopus Deploy Official MCP Server,DevOps assistant for infrastructure inspection and diagnostics,DevOps,Official,true,92,https://github.com/octopusdeploy/mcp-server,,"automation,devops,infrastructure",https://github.com/octopusdeploy/mcp-server/blob/main/README.md
Needle,Production-ready RAG out of the box to search and retrieve data,Search,Official,true,90,https://github.com/needle-ai/needle-mcp,,"ai-ml,search,semantic-search",https://github.com/needle-ai/needle-mcp/blob/main/README.md
Square,Payment processing integration,Finance,Official,true,90,https://github.com/square/square-mcp-server,,"finance,payment",https://github.com/square/square-mcp-server/blob/main/README.md
Box,Interact with the Intelligent Content Management platform through Box AI,Development,Official,true,88,https://github.com/box-community/mcp-server-box,,"development,backend",https://github.com/box-community/mcp-server-box/blob/main/README.md
OceanBase,MCP Server for OceanBase database and its tools,Database,Official,true,87,https://github.com/oceanbase/mcp-oceanbase,,"database,schema-design,sql",https://github.com/oceanbase/mcp-oceanbase/blob/main/README.md
Octagon,Delivers investment research with market data,Finance,Official,true,86,https://github.com/OctagonAI/octagon-mcp-server,,"finance,payment,semantic-search",https://github.com/OctagonAI/octagon-mcp-server/blob/main/README.md
Keboola,Build robust data workflows integrations and analytics on a single intuitive platform,Data,Official,true,80,https://github.com/keboola/keboola-mcp-server,,"analytics,data",https://github.com/keboola/keboola-mcp-server/blob/main/README.md
SerpApi MCP,Search engine results aggregation,Search,Official,true,80,https://github.com/serpapi/serpapi-mcp,,"api-design,search,semantic-search",https://github.com/serpapi/serpapi-mcp/blob/main/README.md
DeepResearch,Lightning-Fast High-Accuracy Deep Research Agent,Development,Official,true,79,https://github.com/OctagonAI/octagon-deep-research-mcp,,"search,semantic-search",https://github.com/OctagonAI/octagon-deep-research-mcp/blob/main/README.md
Twilio,Send messages manage phone numbers configure accounts via Twilio APIs,Communication,Official,true,77,https://github.com/twilio-labs/mcp,,"api-design,communication,messaging",https://github.com/twilio-labs/mcp/blob/main/README.md
Bankless Onchain,"Query Onchain data, like ERC20 tokens, transaction history",Development,Official,true,76,https://github.com/bankless/onchain-mcp,,"development,backend",https://github.com/bankless/onchain-mcp/blob/main/README.md
Oxylabs,Scrape websites with Oxylabs Web API supporting dynamic rendering and parsing,Web Scraping,Official,true,76,https://github.com/oxylabs/oxylabs-mcp,,"api-design,content-extraction,web-scraping",https://github.com/oxylabs/oxylabs-mcp/blob/main/README.md
CircleCI,Enable AI Agents to fix build failures from CircleCI,Development,Official,true,75,https://github.com/CircleCI-Public/mcp-server-circleci,,"agents,ai-ml",https://github.com/CircleCI-Public/mcp-server-circleci/blob/main/README.md
Debugg AI,Enable your code gen agents to create & run 0-config end-to-end tests,Development,Official,true,75,https://github.com/debugg-ai/debugg-ai-mcp,,"agents,ai-ml",https://github.com/debugg-ai/debugg-ai-mcp/blob/main/README.md
Tinybird,Interact with Tinybird serverless ClickHouse platform,Database,Official,true,75,https://github.com/tinybirdco/mcp-tinybird,,"database,schema-design,sql",https://github.com/tinybirdco/mcp-tinybird/blob/main/README.md
Mureka,Generates lyrics songs and instrumental background music,AI/ML,Official,true,67,https://github.com/SkyworkAI/Mureka-mcp,,ai-ml,https://github.com/SkyworkAI/Mureka-mcp/blob/main/README.md
Anki MCP,Interaction with Anki spaced repetition flashcard application,Productivity,Official,true,62,https://github.com/anki-mcp/anki-mcp-desktop,,"productivity,workflow",https://github.com/anki-mcp/anki-mcp-desktop/blob/main/README.md
