name,description,category,badge,featured,github_url,website,tags,readme_url,type
21st.dev Magic,Create crafted UI components inspired by the best 21st.dev design engineers.,,official,false,https://github.com/21st-dev/magic-mcp,,,https://mcpservers.org/servers/21st-dev/magic-mcp,server
2slides,"This is the 1st, easiest, and cheapest PPT, slides, presentation AI generation MCP Server in the world.",,official,false,https://github.com/2slides/2slides-mcp,,,https://mcpservers.org/servers/github-com-2slides-2slides-mcp,server
Adfin,"The only platform you need to get paid - all payments in one place, invoicing and accounting reconciliations with Adfin.",,official,false,https://github.com/Adfin-Engineering/mcp-server-adfin,,,https://mcpservers.org/servers/Adfin-Engineering/mcp-server-adfin,server
Agent Evals by Galileo,"Bring agent evaluations, observability, and synthetic test set generation directly into your IDE for free with Galileo's new MCP server",,official,false,,https://v2docs.galileo.ai/getting-started/mcp/setup-galileo-mcp#galileo-mcp-server,,https://mcpservers.org/servers/v2docs-galileo-ai-getting-started-mcp-setup-galileo-mcp,server
AgentQL,Enable AI agents to get structured data from unstructured web with AgentQL.,,official,false,https://github.com/tinyfish-io/agentql-mcp,,,https://mcpservers.org/servers/tinyfish-io/agentql-mcp,server
AgentRPC,"Connect to any function, any language, across network boundaries using AgentRPC.",,official,false,https://github.com/agentrpc/agentrpc,,,https://mcpservers.org/servers/agentrpc/agentrpc,server
Aiven,"Navigate your Aiven projects and interact with the PostgreSQL®, Apache Kafka®, ClickHouse® and OpenSearch® services",,official,false,https://github.com/Aiven-Open/mcp-aiven,,,https://mcpservers.org/servers/Aiven-Open/mcp-aiven,server
ALAPI,"ALAPI MCP Tools,Call hundreds of API interfaces via MCP",,official,false,https://github.com/ALAPI-SDK/mcp-alapi-cn,,,https://mcpservers.org/servers/ALAPI-SDK/mcp-alapi-cn,server
AlibabaCloud DevOps MCP,Yunxiao MCP Server provides AI assistants with the ability to interact with the Yunxiao platform.,,official,false,https://github.com/aliyun/alibabacloud-devops-mcp-server,,,https://mcpservers.org/servers/aliyun/alibabacloud-devops-mcp-server,server
AllVoiceLab,"An AI voice toolkit with TTS, voice cloning, and video translation, now available as an MCP server for smarter agent integration.",,official,false,,https://www.allvoicelab.com/mcp,,https://mcpservers.org/servers/allvoicelab/mcp,server
Allyson,AI-powered SVG animation generator that transforms static files into animated SVG components using the Allyson platform,,official,false,https://github.com/isaiahbjork/allyson-mcp,,,https://mcpservers.org/servers/isaiahbjork/allyson-mcp,server
AltTester® AI Extension,MCP server for game test automation,,official,false,,https://alttester.com/docs/desktop/latest/pages/ai-extension.html,,https://mcpservers.org/servers/alttester-com-docs-desktop-latest-pages-ai-extension-html,server
Anki MCP,"A MCP server that enables AI assistants to interact with Anki, the spaced repetition flashcard application.",,official,false,https://github.com/anki-mcp/anki-mcp-desktop,,,https://mcpservers.org/servers/anki-mcp/anki-mcp-desktop,server
Apache Doris,"MCP Server For Apache Doris, an MPP-based real-time data warehouse.",,official,false,https://github.com/apache/doris-mcp-server,,,https://mcpservers.org/servers/apache/doris-mcp-server,server
Apify,"Extract data from any website with thousands of scrapers, crawlers, and automations",,official,false,https://github.com/apify/apify-mcp-server,,,https://mcpservers.org/servers/apify/apify-mcp-server,server
APIMatic MCP,APIMatic MCP Server is used to validate OpenAPI specifications using APIMatic. The server processes OpenAPI files and returns validation summaries by leveraging APIMatic’s API.,,official,false,https://github.com/apimatic/apimatic-validator-mcp,,,https://mcpservers.org/servers/apimatic/apimatic-validator-mcp,server
AppContext MCP,"AppContext gives your AI coding agent instant visual insight into what you're developing, so it can fix issues, refine UI, and accelerate your development workflow in real time.",,official,false,,https://appcontext.dev,,https://mcpservers.org/servers/appcontext-dev,server
AppleScript BB MCP Server,"Enables LLM clients to interact with macOS applications through AppleScript. Built using the @beyondbetter/bb-mcp-server library, this server provides safe, controlled execution of predefined scripts with optional support for arbitrary script execution.",,official,false,,https://beyondbetter.app/solutions/mcp-tools#bb-applescript-mcp-server,,https://mcpservers.org/servers/beyondbetter-app-solutions-mcp-tools,server
Armor Crypto MCP,"MCP to interface with multiple blockchains, staking, DeFi, swap, bridging, wallet management, DCA, Limit Orders, Coin Lookup, Tracking and more.",,official,false,https://github.com/armorwallet/armor-crypto-mcp,,,https://mcpservers.org/servers/armorwallet/armor-crypto-mcp,server
Atla,Enable AI agents to interact with the Atla API for state-of-the-art LLMJ evaluation.,,official,false,https://github.com/atla-ai/atla-mcp-server,,,https://mcpservers.org/servers/atla-ai/atla-mcp-server,server
Atlan,Official MCP Server from Atlan which enables you to bring the power of metadata to your AI tools,,official,false,https://github.com/atlanhq/agent-toolkit/tree/main/modelcontextprotocol,,,https://mcpservers.org/servers/atlanhq/agent-toolkit,server
atlassian-mcp-server,"Atlassian’s Remote Model Context Protocol (MCP) Server to allow LLMs to talk to Jira, Confluence, OpsGenie, and many other Atlassian prodcuts",,official,false,,https://www.atlassian.com/blog/announcements/remote-mcp-server,,https://mcpservers.org/servers/www-atlassian-com-blog-announcements-remote-mcp-server,server
Audiense Insights,"Marketing insights and audience analysis from Audiense reports, covering demographic, cultural, influencer, and content engagement analysis.",,official,false,https://github.com/AudienseCo/mcp-audiense-insights,,,https://mcpservers.org/servers/AudienseCo/mcp-audiense-insights,server
Authn8,"Access your team's 2FA codes from AI agents without sharing secrets. List accounts, generate TOTP codes, and maintain full audit trails",,official,false,https://github.com/authn8/mcp-server,,,https://mcpservers.org/servers/authn8/mcp-server,server
avr-docs-mcp,This MCP (Model Context Protocol) server provides integration with Wiki.JS for searching and listing pages from Agent Voice Response Wiki.JS instance.,,official,false,https://github.com/agentvoiceresponse/avr-docs-mcp,,,https://mcpservers.org/servers/github-com-agentvoiceresponse-avr-docs-mcp,server
AWS Bedrock KB Retrieval,Query Amazon Bedrock Knowledge Bases using natural language to retrieve relevant information from your data sources.,,official,false,https://github.com/awslabs/mcp/tree/main/src/bedrock-kb-retrieval-mcp-server,,,https://mcpservers.org/servers/awslabs/bedrock-kb-retrieval-mcp-server,server
AWS CDK,"Get prescriptive CDK advice, explain CDK Nag rules, check suppressions, generate Bedrock Agent schemas, and discover AWS Solutions Constructs patterns.",,official,false,https://github.com/awslabs/mcp/tree/main/src/cdk-mcp-server,,,https://mcpservers.org/servers/awslabs/cdk-mcp-server,server
AWS CloudTrail,"This AWS Labs Model Context Protocol (MCP) server for CloudTrail enables your AI agents to query AWS account activity for security investigations, compliance auditing, and operational troubleshooting.",,official,false,https://github.com/awslabs/mcp/tree/main/src/cloudtrail-mcp-server,,,https://mcpservers.org/servers/github-com-awslabs-mcp-tree-main-src-cloudtrail-mcp-server,server
AWS Core,Core AWS MCP server providing prompt understanding and server management capabilities.,,official,false,https://github.com/awslabs/mcp/tree/main/src/core-mcp-server,,,https://mcpservers.org/servers/awslabs/core-mcp-server,server
